505.60597,794.12716,914.38247,462.06917,0.91389,0.85446,1.17033,
145.11553,117.28596,286.51755,247.46296,1.70528,0.46063,2.17093,
535.34752,355.23511,664.41247,394.24219,0.73642,0.71507,1.39846,
181.42784,465.23196,615.45382,461.29897,2.54260,2.05856,0.48578,
143.54546,502.98756,618.61730,489.62063,3.41091,2.97968,0.33561,
202.32885,350.71049,582.77169,435.41480,2.15202,1.54934,0.64544,
485.51419,347.61815,738.82487,557.71646,1.14871,0.69755,1.43358,
181.03045,397.94967,580.57384,436.83462,2.41304,1.76884,0.56534,
484.76008,476.07296,633.06076,311.64840,0.64289,0.49097,2.03679,
232.05693,204.77037,451.78555,337.92844,1.45623,0.93336,1.07140,
290.97998,242.54102,497.31953,352.16455,1.21027,0.92692,1.07884,
380.12632,273.55706,555.01754,405.07803,1.06564,0.76922,1.30002,
287.84922,253.19473,382.35970,242.32546,0.84185,0.46046,2.17173,
110.29650,240.22535,279.09522,187.24810,1.69768,1.26200,0.79239,
420.15116,355.99630,710.76376,487.85668,1.16115,0.94572,1.05740,
387.36868,1058.95551,2317.64068,2146.26231,5.54062,2.06400,0.48450,
165.20557,151.26773,188.69119,91.29146,0.55259,0.34848,2.86959,
191.96497,446.83340,612.20719,455.39970,2.37231,1.79387,0.55745,
188.43895,371.72805,659.39227,534.98943,2.83906,1.59588,0.62661,
164.10329,272.40927,272.41176,108.39202,0.66051,0.65999,1.51516,
185.60240,374.80354,613.50845,485.64357,2.61658,1.54336,0.64794,
378.68758,424.02836,725.68889,489.50621,1.29264,0.93640,1.06792,
247.92413,293.55196,409.44490,251.67307,1.01512,0.35161,2.84406,
293.23062,340.09673,557.98766,378.38141,1.29039,0.79120,1.26391,
241.25535,396.05408,589.95850,409.19931,1.69613,1.21203,0.82506,
245.47455,561.74154,650.88646,426.16755,1.73610,1.56406,0.63936,
349.69553,229.97305,495.25630,351.18732,1.00427,0.83565,1.19667,
670.80700,447.59913,818.62224,470.11047,0.70081,0.60866,1.64295,
207.77998,159.62245,305.68711,224.60740,1.08099,0.66202,1.51053,
420.96427,274.80412,562.11057,373.08491,0.88626,0.82876,1.20662,
